year,initiative,category
2020,Advance ?impact and application of neutron science,advance neutron science impact
2020,Scale computing and data analytics to exascale and beyond for science and energy,exascale computing and analytics
2020,Discover and design next generation materials and chemical processes for energy,material discovery and design
2020,Enhance the scientific basis for breakthrough nuclear technologies and systems,Nuclear Science
2020,Understand complexity in biological and evironmental systems,biological and environmental systems
2020,Provide strategic capabilities in isotope production and R&D?,isotope production and research and development
2020,"Accelerate research, development, and manufacturing of integrated energy systems",integrated energy systems
2020,Deliver science and technology to address pressing National Security challenges,Global Security Science and Technology
2020,Accelerate deployment of DOE intellectual property and strategic engagement with industry,DOE intellectual property and strategic engagement
2020,Enhance ORNL's science and innovation culture,science and innovation culture
2019,Advance the science and impact of neutrons,advance neutron science impact
2019,Scale computing and data analytics to exascale and beyond for science and energy,exascale computing and data analytics
2019,Accelerate the discovery and design of new materials and chemical processes for energy,material discovery and design
2019,Advance the scientific basis for breakthrough nuclear technologies and systems,Nuclear Science
2019,Advance the understanding of complexity in biological and environmental systems,"Systems Biology, and Environmental Sustainability"
2019,Enhance strategic capabilities in isotope production and R&D,isotope production and research and development
2019,"Accelerate research, development, and manufacturing of integrated energy systems",integrated energy systems
2019,Deliver science and technology to address complex global security challenges,Global Security Science and Technology
2019,Accelerate deployment of DOE intellectual property and strategic engagement with industry and universities,DOE intellectual property and strategic engagement
2019,Advance ORNL’s science and innovation culture,science and innovation culture
2018,Advance the science and impact of neutrons,advance neutron science impact
2018,Scale computing and data analytics to exascale and beyond for science and energy,exascale computing and data analytics
2018,Accelerate the discovery and design of new materials for energy,material discovery and design
2018,Advance the scientific basis for breakthrough nuclear technologies and systems,Nuclear Science
2018,Advance the understanding of complexity in biological and environmental systems,biological and environmental systems
2018,"Accelerate research, development, and manufacturing of integrated energy systems",integrated energy systems
2018,Deliver science and technology to address complex global security challenges,Global Security Science and Technology
2018,Accelerate deployment of DOE intellectual property and strategic engagement with industry and universities,DOE intellectual property and strategic engagement
2018,Advance ORNL’s Science and Innovation Culture,science and innovation culture
2017,Advance the science and impact of neutrons,advance neutron science impact
2017,Scale computing and data analytics to exascale and beyond for science and energy,exascale computing and data analytics
2017,Accelerate the discovery and design of new materials for energy,material discovery and design
2017,Advance the scientific basis for breakthrough nuclear technologies and systems,Nuclear Science
2017,"Advance the understanding of complexity in biological, environmental and climate systems","Climate Change Science, biological and environmental systems"
